"metadataAdvertiserId","distinct.jobid.","visibilitylevel","nps_score"
118979,2,"jobalert",10
209327,2,"sponsored",7
288428,1,"sponsored",9
367524,1,"jobalert",0
386321,1,"jobalert",10
454691,2,"jobalert",0
641691,4,"sponsored",2
661272,2,"jobalert",5
664885,4,"jobalert",10
874775,12,"sponsored",6
1047923,1,"jobalert",8
1081339,2,"sponsored",8
1137996,1,"jobalert",10
1163146,2,"jobalert",8
1181651,8,"jobalert",3
1234009,1,"sponsored",5
1442200,3,"jobalert",4
1528864,1,"sponsored",10
1588992,22,"jobalert",10
1593991,11,"sponsored",10
1637704,2,"jobalert",9
1651169,2,"sponsored",7
1732089,4,"jobalert",8
1759004,5,"nowhere",10
1774100,1,"sponsored",8
1848863,12,"sponsored",10
1966662,1,"sponsored",8
1983187,1,"jobalert",7
1993997,4,"jobalert",10
2203006,12,"sponsored",9
2297091,2,"jobalert",10
2362367,3,"sponsored",10
2443210,1,"jobalert",8
2609522,1,"jobalert",5
2619779,7,"sponsored",9
2657662,3,"jobalert",8
2664602,11,"sponsored",9
2694318,1,"jobalert",4
2720868,4,"sponsored",10
2736232,3,"sponsored",8
2882094,1,"sponsored",2
2953237,2,"sponsored",8
2973324,5,"jobalert",10
3021469,1,"sponsored",8
3182646,1,"sponsored",10
3217252,1,"sponsored",10
3237851,1,"jobalert",5
3350352,2,"sponsored",10
3533142,1,"sponsored",10
3535472,10,"sponsored",10
3542598,2,"jobalert",9
3560254,4,"jobalert",10
3729481,1,"sponsored",2
3884991,1,"jobalert",10
3946563,1,"sponsored",6
3962697,1,"sponsored",10
3970009,8,"jobalert",10
3974762,2,"jobalert",10
3977334,2,"sponsored",8
4066114,1,"sponsored",4
4072033,1,"jobalert",8
4131445,3,"jobalert",8
4158724,2,"sponsored",10
4461812,1,"jobalert",10
4564902,6,"sponsored",5
4722672,1,"sponsored",10
4783894,1,"jobalert",9
4826226,6,"jobalert",9
4840022,1,"sponsored",10
4843554,3,"jobalert",4
4949907,7,"sponsored",8
4969574,8,"sponsored",10
5011377,7,"jobalert",8
5091382,1,"jobalert",10
5166833,1,"sponsored",2
5275832,1,"sponsored",1
5485492,1,"jobalert",0
5573950,2,"jobalert",8
5703598,2,"sponsored",7
5732588,1,"sponsored",10
5735605,2,"jobalert",5
5752000,1,"jobalert",8
5792439,7,"sponsored",7
5886669,1,"jobalert",1
6115360,1,"sponsored",0
6199063,1,"jobalert",10
6254615,1,"sponsored",10
6393553,1,"jobalert",8
6411347,1,"sponsored",6
6503662,1,"sponsored",10
6622833,2,"sponsored",10
6686321,1,"sponsored",5
6707413,3,"jobalert",10
6735269,3,"jobalert",10
6756494,2,"sponsored",10
6797501,1,"sponsored",10
6843096,1,"jobalert",10
6847274,1,"sponsored",10
6912278,1,"jobalert",8
6922706,2,"jobalert",10
6923934,28,"jobalert",9
6950757,1,"jobalert",9
7087893,6,"jobalert",5
7191966,2,"jobalert",7
7295988,1,"jobalert",10
7436425,1,"jobalert",10
7647621,1,"jobalert",10
7711582,6,"sponsored",10
7751989,2,"jobalert",6
8278746,30,"jobalert",10
8309734,1,"jobalert",10
8434471,1,"jobalert",5
8475969,2,"sponsored",10
8502534,3,"sponsored",10
8513446,2,"jobalert",9
8618145,2,"jobalert",3
8782764,1,"sponsored",8
8829838,1,"jobalert",10
8907412,1,"sponsored",10
8916261,2,"jobalert",9
9304743,3,"sponsored",8
9386746,1,"sponsored",7
9478890,2,"jobalert",8
9539005,1,"nowhere",10
9557327,1,"organic",10
9585737,5,"sponsored",10
9629822,9,"jobalert",3
9725288,1,"sponsored",5
9833356,1,"sponsored",10
9891253,1,"jobalert",9
9973882,2,"sponsored",7
10045768,8,"jobalert",3
10189835,2,"sponsored",7
10248433,1,"jobalert",4
10492240,1,"jobalert",8
10493362,1,"sponsored",10
10636228,2,"jobalert",10
10708194,1,"jobalert",0
10893554,2,"jobalert",10
10920663,1,"sponsored",10
10955741,1,"jobalert",5
10991029,5,"sponsored",9
10999861,2,"jobalert",10
11025749,1,"jobalert",5
11154086,1,"sponsored",10
11160621,4,"jobalert",10
11199195,1,"jobalert",10
11350476,2,"organic",3
11385566,2,"jobalert",10
11398497,1,"sponsored",9
11661828,3,"jobalert",1
11966810,1,"jobalert",10
11999049,2,"nowhere",6
12059778,1,"jobalert",10
12274540,1,"sponsored",7
12290165,1,"jobalert",8
12357802,4,"sponsored",9
12440085,1,"jobalert",10
12528377,3,"sponsored",8
12569653,2,"jobalert",3
12693775,2,"jobalert",9
12863960,1,"sponsored",9
12894340,1,"jobalert",10
12935825,6,"jobalert",9
13031043,3,"jobalert",10
13034133,1,"sponsored",9
13056575,1,"sponsored",10
13156661,2,"jobalert",8
13186999,1,"sponsored",6
13194716,3,"jobalert",10
13212875,1,"jobalert",10
13312378,1,"jobalert",10
13316471,3,"jobalert",5
13356167,1,"sponsored",0
13428499,11,"sponsored",5
13481590,1,"jobalert",5
13588399,1,"jobalert",5
13622474,26,"sponsored",5
13626598,1,"jobalert",3
13639494,1,"sponsored",10
13737664,1,"jobalert",1
13763596,1,"organic",8
13775392,1,"sponsored",2
13819240,3,"jobalert",5
13843207,1,"sponsored",5
14044074,8,"jobalert",7
14254409,1,"sponsored",8
14398361,2,"jobalert",2
14467449,2,"organic",10
14579566,2,"jobalert",9
14634733,2,"sponsored",10
14680589,1,"jobalert",9
14780395,1,"sponsored",2
15051264,3,"jobalert",10
15110082,2,"sponsored",8
15123702,1,"sponsored",9
15133450,2,"jobalert",10
15139151,2,"jobalert",10
15207754,1,"sponsored",9
15222815,14,"jobalert",20
15227039,1,"jobalert",8
15271268,2,"jobalert",2
15363887,1,"jobalert",10
15438546,2,"jobalert",10
15514181,1,"jobalert",3
15538818,2,"sponsored",5
15658520,1,"sponsored",10
15742018,1,"jobalert",1
15946091,1,"jobalert",10
16052454,49,"jobalert",9
16068768,1,"jobalert",10
16314404,5,"jobalert",2
16428644,25,"jobalert",10
16463574,1,"jobalert",10
16488647,11,"sponsored",10
16647631,1,"jobalert",5
16764224,2,"jobalert",2
16809460,1,"sponsored",0
16934449,1,"jobalert",0
17084239,1,"jobalert",10
17101296,1,"sponsored",7
17284586,2,"sponsored",5
17374774,2,"jobalert",10
17467162,2,"sponsored",1
17473089,5,"jobalert",8
17479644,1,"sponsored",9
17514451,12,"jobalert",5
17586295,2,"jobalert",8
17641933,3,"sponsored",10
17652650,1,"sponsored",9
17663911,18,"sponsored",7
17696480,3,"jobalert",8
17747592,1,"sponsored",9
17758080,2,"jobalert",7
17784666,1,"sponsored",9
17835548,5,"jobalert",7
17929428,14,"nowhere",6
17982179,7,"jobalert",8
17996029,2,"sponsored",10
18027261,1,"jobalert",5
18043659,1,"sponsored",7
18095455,1,"jobalert",7
18101239,50,"sponsored",10
18108831,3,"sponsored",1
18197435,1,"jobalert",7
18197872,2,"sponsored",9
18206258,3,"jobalert",3
18219759,8,"sponsored",7
18311863,1,"jobalert",10
18391210,1,"jobalert",0
18405284,8,"jobalert",9
18439334,3,"sponsored",10
18507225,1,"jobalert",9
18517885,1,"nowhere",5
18530701,2,"jobalert",6
18535609,12,"nowhere",9
18582609,1,"jobalert",10
18726199,3,"sponsored",10
18746363,1,"jobalert",9
18787498,4,"jobalert",10
18862765,1,"jobalert",10
18870862,1,"jobalert",0
18882934,1,"sponsored",9
18895995,2,"sponsored",10
18900012,1,"jobalert",10
18946258,1,"sponsored",10
18980453,22,"sponsored",3
19035700,1,"sponsored",10
19232046,1,"jobalert",10
19315022,1,"jobalert",1
19426452,2,"jobalert",10
19598046,1,"sponsored",10
19664873,2,"sponsored",9
19668654,1,"jobalert",6
19670389,1,"sponsored",9
19713304,1,"sponsored",20
19787983,1,"jobalert",10
19973526,2,"sponsored",10
20165270,1,"nowhere",1
20166361,1,"sponsored",10
20215862,1,"jobalert",7
20319783,3,"jobalert",9
20337769,1,"sponsored",10
20500560,1,"sponsored",0
20577833,6,"jobalert",6
20584500,1,"jobalert",10
20594579,1,"sponsored",7
20679728,2,"jobalert",10
20690944,1,"sponsored",5
20692775,2,"jobalert",10
20767847,1,"sponsored",10
20810750,1,"jobalert",10
20913442,6,"nowhere",10
20914176,2,"sponsored",9
20920732,1,"jobalert",4
20938459,2,"jobalert",10
21024538,1,"jobalert",5
21025876,1,"sponsored",10
21044435,9,"jobalert",7
21120471,1,"sponsored",0
21142099,1,"jobalert",9
21206095,1,"jobalert",7
21354719,2,"jobalert",6
21367597,2,"sponsored",8
21428282,1,"jobalert",7
21449189,3,"sponsored",8
21449800,1,"nowhere",5
21464934,1,"sponsored",9
21511633,1,"jobalert",0
21514552,1,"jobalert",10
21580292,1,"jobalert",3
21611717,1,"jobalert",10
21728699,1,"jobalert",8
21730915,2,"sponsored",10
21783722,3,"jobalert",10
21928489,3,"jobalert",2
21936986,1,"sponsored",6
21952841,2,"jobalert",7
22009101,2,"jobalert",0
22011668,2,"sponsored",6
22015627,2,"jobalert",4
22047971,1,"jobalert",9
22087762,2,"jobalert",8
22090640,1,"sponsored",10
22111244,2,"jobalert",10
22159608,3,"sponsored",1
22163024,1,"jobalert",10
22184093,1,"jobalert",6
22237006,1,"sponsored",5
22252589,1,"jobalert",7
22268221,1,"sponsored",10
22275536,1,"jobalert",8
22375281,1,"sponsored",9
22386573,2,"jobalert",10
22414168,6,"sponsored",10
22461321,9,"jobalert",8
