advertiser_id,billing_country_code,nps_score
1189164,AE,10
1651169,AE,7
2520071,AE,9
3193388,AE,9
3988184,AE,8
4094609,AE,10
4439972,AE,10
4848308,AE,9
5572850,AE,10
6436489,AE,10
6712938,AE,10
7207058,AE,9
7785095,AE,10
7956271,AE,10
8752967,AE,10
8795836,AE,10
8960072,AE,10
9031518,AE,0
9426948,AE,10
9792956,AE,10
10049657,AE,8
10066027,AE,10
10114967,AE,10
10251066,AE,10
10415870,AE,7
10971283,AE,10
11105698,AE,10
12443248,AE,9
13112071,AE,10
13194716,AE,10
13223743,AE,10
13395858,AE,0
13487475,AE,10
13754539,AE,10
13817911,AE,8
13842719,AE,10
14026855,AE,9
14360757,AE,8
14417419,AE,8
14467449,AE,10
14627067,AE,5
14896769,AE,10
15484596,AE,7
15861424,AE,8
15875595,AE,10
16158272,AE,10
16165338,AE,10
16171580,AE,0
16217821,AE,9
16226104,AE,7
16270932,AE,10
16574920,AE,9
16647974,AE,10
16744492,AE,10
16978893,AE,8
17213978,AE,10
17228718,AE,10
17291505,AE,10
17430299,AE,10
17430455,AE,10
17542322,AE,10
17580089,AE,9
17839818,AE,10
17996445,AE,6
18594206,AE,8
18656201,AE,10
18781128,AE,10
18782168,AE,10
18981922,AE,9
19053009,AE,9
19305450,AE,5
19461962,AE,6
20140290,AE,10
20220985,AE,10
20516501,AE,10
20522874,AE,0
20624784,AE,1
20678638,AE,10
20952403,AE,10
21025876,AE,10
21604067,AE,10
21904974,AE,10
22141797,AE,10
22159517,AE,9
22242499,AE,9
22645630,AE,5
22712369,AE,10
22917291,AE,1
22928910,AE,10
22951371,AE,5
23190317,AE,8
23219139,AE,10
23307861,AE,10
23398666,AE,10
23433439,AE,10
23511692,AE,10
23621869,AE,7
23639942,AE,0
23797635,AE,3
24124326,AE,9
24184104,AE,5
24227953,AE,8
24282623,AE,7
24566699,AE,4
24620386,AE,10
24690285,AE,10
24781645,AE,10
24970461,AE,10
24973006,AE,1
24984754,AE,10
25198073,AE,9
25198828,AE,10
25231934,AE,1
25235409,AE,10
25246350,AE,10
25399090,AE,10
25444527,AE,9
25558413,AE,8
25561088,AE,3
25599661,AE,10
25612935,AE,9
25714587,AE,10
25715259,AE,0
25718007,AE,10
25729063,AE,0
25751922,AE,10
25766514,AE,8
25819438,AE,0
25819979,AE,10
25842474,AE,4
25860112,AE,10
25883977,AE,10
25892466,AE,5
25942308,AE,5
25944089,AE,10
25947534,AE,10
25954335,AE,6
25956889,AE,10
26004053,AE,9
26017276,AE,10
26052292,AE,6
26061805,AE,9
26071406,AE,10
26072926,AE,10
26187628,AE,4
26192758,AE,10
26195879,AE,9
26265910,AE,8
26274150,AE,10
26410309,AE,10
26471788,AE,1
26481230,AE,8
26520148,AE,9
26566353,AE,0
26677880,AE,10
26700739,AE,9
26790026,AE,0
26840521,AE,10
27032788,AE,6
27035108,AE,10
27063796,AE,10
27070018,AE,10
27083070,AE,10
27133503,AE,7
27144875,AE,9
27175232,AE,10
27176504,AE,6
27195895,AE,5
27196299,AE,4
27207229,AE,9
27211055,AE,10
27216766,AE,9
27216969,AE,1
27219499,AE,6
27235322,AE,10
27237512,AE,2
27241637,AE,9
27244734,AE,10
27253005,AE,10
27253447,AE,10
27253518,AE,6
27262715,AE,10
27263159,AE,10
27264481,AE,8
27266297,AE,10
27267465,AE,10
27271153,AE,6
27274661,AE,10
27287594,AE,10
27289241,AE,10
27295918,AE,10
27296776,AE,8
27300039,AE,10
27304368,AE,10
27305778,AE,7
27306322,AE,7
27321535,AE,10
27323122,AE,8
27344949,AE,7
27345403,AE,10
27348967,AE,10
27349167,AE,2
27349916,AE,1
27387835,AE,10
27389299,AE,6
27389838,AE,10
27391228,AE,5
27394800,AE,7
27402982,AE,8
27403406,AE,0
27403927,AE,8
27408053,AE,10
27414443,AE,10
27415991,AE,9
27416351,AE,9
27417302,AE,9
27427927,AE,4
27431322,AE,5
27438796,AE,9
27442901,AE,7
27443973,AE,10
27451295,AE,8
27462363,AE,10
27467781,AE,8
27468220,AE,6
27472160,AE,10
27523722,AE,10
27531224,AE,1
27532428,AE,10
27537099,AE,8
27540088,AE,1
27540330,AE,6
27542031,AE,10
27558714,AE,10
27571292,AE,10
27593882,AE,10
27593960,AE,10
27613246,AE,10
27615858,AE,10
27616476,AE,10
27617375,AE,10
27617511,AE,9
27617866,AE,5
27620220,AE,10
27620371,AE,2
27627429,AE,9
27633508,AE,1
27645458,AE,6
27651383,AE,8
27651669,AE,9
27656628,AE,10
27677626,AE,10
1992463,AF,10
19269216,AF,1
2100519,AR,0
2459028,AR,8
6468332,AR,10
7643217,AR,8
7831359,AR,9
10894221,AR,5
13672170,AR,7
14541445,AR,8
18546479,AR,10
18579689,AR,3
18874347,AR,0
18888579,AR,10
19397109,AR,1
19785951,AR,5
20480194,AR,7
21320752,AR,8
21752669,AR,10
22623677,AR,5
22703330,AR,10
22933391,AR,5
23220646,AR,10
24154785,AR,3
24693464,AR,7
24950605,AR,9
25123999,AR,5
25209269,AR,8
25636131,AR,10
25646138,AR,8
25798135,AR,9
25827924,AR,8
25959543,AR,10
25960454,AR,9
26240911,AR,7
27179088,AR,3
27206776,AR,10
27211690,AR,7
27248513,AR,5
27260467,AR,5
27277669,AR,10
27278390,AR,7
27301476,AR,10
26221149,AT,10
26766634,AT,7
26767040,AT,4
27200879,AT,6
27238349,AT,10
27240057,AT,1
27267762,AT,4
27280478,AT,8
27322105,AT,10
27490885,AT,2
27739359,AT,10
28828,AU,8
584340,AU,2
2117901,AU,0
2133135,AU,10
2367453,AU,0
2537774,AU,6
2620021,AU,1
2715400,AU,7
2968210,AU,10
3000624,AU,2
3073854,AU,6
3086897,AU,10
3219443,AU,7
3239889,AU,8
3265026,AU,5
3595942,AU,10
3596216,AU,7
3885003,AU,6
3916690,AU,8
4045994,AU,9
4066455,AU,5
4109804,AU,9
4141689,AU,9
4165891,AU,4
4195463,AU,5
4376810,AU,6
4427751,AU,9
4441115,AU,4
4753823,AU,10
4863416,AU,8
4961178,AU,2
5012601,AU,1
5061304,AU,10
5170447,AU,9
5268695,AU,10
5905703,AU,3
6353676,AU,9
6373330,AU,9
6388376,AU,10
6622833,AU,10
6710052,AU,8
6912906,AU,8
6918127,AU,1
6970615,AU,9
7008073,AU,8
7022214,AU,8
7072384,AU,2
7212850,AU,8
7690566,AU,10
7764234,AU,7
7772066,AU,2
7896287,AU,10
7907313,AU,9
7954289,AU,3
8281055,AU,5
8434471,AU,5
8508608,AU,0
8566644,AU,10
8677994,AU,5
8762512,AU,10
8852470,AU,2
8992277,AU,9
8993713,AU,2
9271123,AU,10
9292280,AU,10
9364749,AU,8
9516511,AU,2
9639079,AU,3
9645653,AU,9
9648685,AU,10
9833356,AU,10
9834551,AU,3
9844813,AU,10
9897868,AU,5
10416717,AU,0
10537636,AU,1
10762170,AU,0
10886018,AU,0
11063006,AU,10
11064337,AU,4
11064474,AU,2
11224272,AU,4
11293026,AU,3
11312919,AU,8
11420995,AU,1
11655615,AU,10
11809777,AU,10
12292826,AU,8
12377182,AU,10
12378970,AU,10
12449688,AU,7
12539600,AU,10
12557837,AU,3
12563951,AU,15
12779226,AU,0
13086237,AU,4
13111626,AU,9
13145382,AU,3
13234036,AU,10
13250869,AU,6
13345686,AU,0
13366929,AU,8
13542217,AU,1
13616028,AU,10
13713214,AU,9
14044074,AU,7
14201979,AU,3
14321673,AU,4
14570242,AU,4
14950252,AU,6
15010822,AU,8
15057838,AU,0
15077401,AU,10
15352887,AU,8
15422575,AU,4
15542325,AU,0
15543784,AU,10
15642046,AU,7
15735484,AU,8
16023342,AU,7
16102286,AU,5
16104752,AU,1
16193687,AU,7
16194248,AU,9
16240023,AU,0
16283850,AU,8
16476526,AU,10
16530412,AU,1
16532735,AU,8
16613961,AU,0
16643871,AU,10
16765323,AU,10
16789121,AU,10
17108369,AU,7
17128806,AU,9
17152250,AU,4
17256947,AU,9
17465652,AU,8
17606779,AU,8
17832923,AU,0
18135369,AU,1
18163045,AU,8
18169666,AU,7
18299105,AU,0
18429481,AU,0
18473433,AU,0
18722625,AU,9
18723165,AU,5
18746363,AU,9
18895772,AU,0
18978959,AU,8
19083953,AU,1
19220046,AU,9
19236756,AU,0
19542693,AU,4
19750442,AU,3
19929959,AU,6
19938920,AU,9
19957041,AU,8
20008257,AU,7
20023072,AU,10
20094440,AU,6
20164052,AU,10
20230847,AU,10
20280907,AU,0
20289450,AU,10
20335835,AU,8
20371848,AU,7
20391956,AU,10
20614344,AU,1
20690944,AU,5
20728030,AU,10
20781568,AU,10
20810402,AU,9
20862360,AU,8
20875637,AU,4
21080684,AU,10
21142099,AU,9
21202390,AU,4
21203702,AU,8
21246793,AU,0
21377817,AU,2
21900064,AU,1
21927573,AU,6
21987230,AU,10
22028295,AU,8
22084444,AU,8
22216220,AU,8
22218443,AU,1
22226177,AU,0
22284497,AU,8
22307850,AU,8
22413826,AU,10
22425126,AU,0
22464305,AU,2
22610558,AU,0
22715878,AU,9
22720648,AU,6
22792304,AU,7
22878287,AU,1
22900567,AU,0
23006180,AU,9
23059667,AU,9
23102592,AU,8
23130537,AU,2
23133144,AU,5
23197512,AU,10
23297892,AU,8
23387626,AU,10
23528756,AU,4
23531454,AU,9
23558495,AU,8
23623449,AU,5
23720492,AU,10
23775899,AU,9
23796819,AU,10
23811620,AU,8
23880026,AU,0
23890161,AU,5
23909889,AU,10
23951447,AU,9
23968165,AU,9
23992951,AU,10
24001008,AU,9
24029535,AU,10
24064588,AU,0
24108178,AU,7
24110704,AU,4
24116865,AU,0
24181117,AU,10
24201264,AU,10
24344118,AU,8
24420523,AU,10
24429434,AU,0
24430449,AU,0
24440053,AU,8
24472121,AU,9
24473291,AU,7
24493095,AU,10
24496550,AU,10
24498590,AU,0
24509722,AU,8
24541733,AU,0
24544692,AU,5
24591245,AU,10
24619009,AU,10
24661882,AU,0
24683475,AU,1
24685257,AU,10
24691458,AU,1
24757817,AU,8
24826429,AU,10
25042852,AU,9
25214681,AU,8
25220143,AU,10
25250075,AU,8
25254361,AU,5
25255025,AU,10
25292406,AU,6
25296139,AU,9
25441408,AU,9
25513185,AU,10
25513865,AU,10
25571775,AU,2
25574195,AU,10
25624840,AU,10
25666152,AU,8
25666852,AU,9
25669356,AU,10
25692825,AU,10
25712545,AU,4
25715030,AU,10
25722641,AU,10
25729671,AU,0
25744323,AU,10
25747152,AU,10
25750136,AU,10
25761271,AU,10
25766964,AU,10
25781121,AU,8
25788207,AU,5
25815838,AU,4
25816959,AU,0
25826377,AU,4
25826443,AU,8
25829353,AU,3
25834476,AU,6
25836147,AU,8
25837286,AU,7
25839450,AU,8
25853530,AU,1
25853788,AU,1
25854631,AU,9
25855052,AU,6
25858135,AU,8
25860465,AU,0
25897456,AU,0
25917490,AU,8
25937095,AU,9
25952014,AU,0
25973578,AU,10
25992280,AU,8
25993460,AU,9
25998614,AU,2
26012469,AU,0
26034328,AU,10
26061300,AU,10
26067602,AU,2
26067713,AU,5
26087141,AU,8
26089504,AU,10
26090441,AU,8
26111024,AU,10
26133141,AU,2
26151011,AU,7
26153040,AU,10
26216985,AU,2
26257399,AU,5
26279491,AU,0
26280554,AU,10
26310535,AU,10
26313273,AU,1
26322703,AU,3
26364700,AU,9
26373655,AU,10
26387287,AU,0
26389932,AU,4
26394711,AU,9
26488911,AU,5
26488940,AU,7
26491193,AU,8
26492501,AU,10
26533502,AU,8
26533911,AU,5
26550794,AU,8
26553363,AU,7
26572485,AU,9
26573834,AU,10
26574352,AU,5
26592595,AU,2
26618545,AU,5
26636050,AU,7
26640257,AU,0
26675823,AU,8
26736730,AU,19
26759890,AU,1
26779179,AU,6
26817471,AU,0
26858329,AU,9
26860038,AU,9
26925390,AU,10
26994722,AU,10
27031730,AU,10
27042714,AU,5
27068141,AU,8
27083782,AU,10
27151263,AU,8
27181969,AU,10
27192619,AU,8
27193399,AU,2
27194313,AU,8
27194853,AU,4
27200444,AU,10
27212244,AU,8
27212291,AU,10
27212581,AU,1
27212614,AU,5
27212677,AU,7
27214162,AU,10
27214848,AU,10
27215687,AU,2
27217522,AU,8
27221538,AU,7
27232836,AU,9
27232981,AU,8
27233003,AU,4
27233682,AU,1
27233699,AU,4
27234059,AU,7
27235261,AU,9
27251705,AU,8
27252314,AU,5
27253719,AU,0
27260638,AU,10
27262801,AU,2
27268832,AU,10
27268970,AU,7
27269046,AU,8
27269053,AU,6
27269490,AU,10
27269531,AU,1
27269591,AU,0
27269819,AU,7
27270559,AU,5
27270723,AU,9
27270737,AU,3
27270966,AU,10
27271236,AU,0
27271824,AU,9
27274781,AU,8
27291483,AU,9
27291506,AU,9
27293074,AU,10
27294172,AU,5
27294239,AU,7
27294386,AU,10
27294754,AU,9
27295347,AU,0
27301636,AU,2
27303014,AU,9
27313209,AU,8
27316462,AU,10
27316556,AU,8
27316654,AU,9
27316854,AU,10
27317283,AU,1
27317503,AU,2
27317811,AU,2
27319342,AU,7
27319346,AU,1
27319773,AU,7
27321124,AU,3
27323051,AU,9
27326731,AU,10
27340221,AU,7
27340391,AU,7
27340533,AU,0
27341041,AU,1
27341746,AU,3
27342732,AU,10
27342790,AU,7
27346378,AU,8
27349239,AU,2
27365459,AU,1
27366573,AU,10
27367855,AU,5
27368074,AU,6
27368153,AU,8
27368466,AU,9
27369737,AU,5
27371237,AU,0
27372974,AU,3
27373571,AU,9
27384803,AU,9
27386225,AU,0
27386513,AU,8
27395900,AU,8
27395977,AU,10
27402668,AU,10
27404220,AU,10
27405532,AU,0
27410373,AU,6
27410685,AU,0
27411289,AU,9
27411545,AU,9
27411886,AU,8
27411916,AU,9
27412120,AU,0
27412351,AU,8
27413479,AU,8
27414697,AU,9
27433044,AU,2
27433760,AU,9
27434084,AU,1
27434151,AU,3
27434272,AU,5
27434706,AU,6
27434725,AU,6
27435069,AU,4
27436198,AU,8
27437026,AU,10
27458271,AU,0
27458618,AU,10
27459213,AU,0
27459479,AU,10
27462222,AU,6
27462473,AU,7
27462815,AU,9
27464603,AU,9
27469717,AU,7
27483559,AU,10
27484355,AU,10
27494473,AU,8
27507911,AU,2
27508531,AU,5
27508685,AU,7
27508812,AU,8
27508897,AU,2
27508940,AU,4
27509187,AU,6
27511088,AU,10
27524306,AU,10
27539269,AU,7
27541693,AU,6
27546784,AU,0
27547088,AU,7
27547187,AU,10
27547716,AU,2
27548576,AU,9
27548882,AU,9
27549278,AU,10
27550761,AU,8
27553723,AU,5
27563573,AU,10
27563618,AU,9
27565980,AU,0
27566245,AU,10
27568598,AU,7
27569832,AU,10
27574037,AU,8
27589682,AU,5
27591637,AU,10
27592340,AU,10
27592366,AU,10
27592712,AU,5
27592780,AU,8
27611805,AU,10
27612293,AU,2
27612494,AU,10
27613608,AU,8
27614370,AU,10
27618355,AU,10
27632098,AU,1
27634856,AU,10
27634918,AU,8
27647861,AU,10
27650602,AU,10
27667176,AU,9
27668961,AU,10
27688276,AU,9
27690793,AU,8
27691024,AU,7
27691538,AU,2
27692177,AU,10
27692243,AU,1
27692603,AU,8
27693135,AU,8
27717454,AU,4
27719415,AU,6
27722576,AU,6
27723586,AU,10
27745871,AU,8
1007340,BE,6
1333215,BE,5
2056666,BE,8
2161777,BE,6
2688869,BE,6
2974598,BE,10
3319053,BE,10
3895230,BE,8
4474324,BE,8
4787450,BE,6
5459390,BE,1
6422772,BE,10
7989973,BE,6
8087115,BE,6
9097350,BE,10
9156095,BE,8
10368734,BE,10
11685514,BE,9
12420488,BE,0
12685988,BE,10
14335493,BE,6
15916954,BE,2
16413376,BE,9
16767175,BE,5
16814881,BE,8
16996384,BE,8
17838461,BE,8
18104167,BE,4
18175549,BE,10
18674468,BE,8
18935257,BE,7
19247211,BE,8
19624342,BE,7
20314138,BE,10
20315405,BE,10
20928820,BE,2
21063967,BE,5
21207534,BE,10
22052901,BE,10
22159443,BE,9
22185524,BE,10
22851890,BE,6
22935494,BE,5
23227824,BE,8
23728031,BE,7
24321224,BE,7
24578965,BE,10
24767130,BE,7
25205882,BE,7
25420589,BE,10
25427380,BE,9
25527387,BE,8
25633154,BE,3
25675991,BE,7
25693368,BE,8
25725455,BE,10
25759466,BE,8
25769825,BE,9
25804517,BE,9
25810505,BE,7
25887671,BE,8
25940281,BE,7
25959744,BE,8
26020138,BE,3
26036617,BE,8
26093986,BE,7
26095516,BE,8
26141211,BE,10
26327103,BE,6
26420136,BE,8
26537106,BE,10
26537688,BE,4
26612492,BE,9
26623206,BE,10
26783188,BE,8
27164552,BE,10
27175415,BE,8
27197858,BE,8
27222578,BE,8
27222994,BE,1
27238470,BE,10
27238910,BE,6
27241218,BE,10
27247799,BE,9
27250209,BE,10
27257422,BE,4
27282735,BE,10
27286538,BE,7
27302243,BE,5
27306539,BE,8
27321224,BE,8
27325162,BE,9
27327981,BE,8
27340489,BE,8
27354565,BE,5
27370538,BE,9
27372803,BE,6
27405158,BE,10
27419700,BE,7
27419757,BE,6
27440378,BE,8
27442533,BE,8
27468211,BE,1
27471233,BE,7
27499133,BE,5
27516527,BE,10
27518859,BE,3
27529320,BE,5
27534622,BE,7
27545101,BE,7
27569153,BE,10
27577858,BE,5
27578800,BE,0
27585619,BE,9
27635587,BE,1
27636290,BE,8
27667480,BE,7
27679225,BE,10
27685529,BE,5
27688096,BE,9
27698539,BE,10
11754759,BH,3
14331649,BH,10
14481507,BH,8
16272421,BH,10
16914265,BH,2
17428862,BH,10
17443296,BH,4
20337769,BH,10
21206669,BH,10
21775176,BH,0
22212693,BH,9
26040792,BH,10
26163782,BH,9
26624074,BH,9
27044165,BH,1
27208719,BH,9
27291434,BH,10
27309798,BH,10
27367180,BH,10
27369620,BH,10
27383144,BH,10
27417900,BH,10
27542163,BH,8
12676406,BM,2
354705,BR,3
737987,BR,9
797519,BR,5
845458,BR,1
921339,BR,3
958104,BR,5
1041043,BR,8
1297564,BR,7
1680138,BR,2
1752998,BR,10
1883611,BR,10
1931389,BR,8
1983613,BR,10
2021289,BR,6
2037691,BR,10
2041740,BR,10
2050094,BR,10
2092980,BR,10
2098791,BR,10
2102815,BR,10
2112144,BR,5
2187694,BR,10
2228830,BR,8
2273347,BR,10
2825101,BR,8
2881738,BR,5
3346535,BR,8
4029375,BR,10
4418108,BR,8
