metadataAdvertiserId,distinct(jobid),visibilitylevel
118979,2,jobalert
209327,2,sponsored
288428,1,sponsored
367524,1,jobalert
386321,1,jobalert
454691,2,jobalert
641691,4,sponsored
661272,2,jobalert
664885,4,jobalert
874775,12,sponsored
1047923,1,jobalert
1081339,2,sponsored
1137996,1,jobalert
1163146,2,jobalert
1181651,8,jobalert
1234009,1,sponsored
1442200,3,jobalert
1528864,1,sponsored
1588992,22,jobalert
1593991,11,sponsored
1637704,2,jobalert
1651169,2,sponsored
1732089,4,jobalert
1759004,5,nowhere
1774100,1,sponsored
1848863,12,sponsored
1966662,1,sponsored
1983187,1,jobalert
1993997,4,jobalert
2203006,12,sponsored
2297091,2,jobalert
2362367,3,sponsored
2443210,1,jobalert
2609522,1,jobalert
2619779,7,sponsored
2657662,3,jobalert
2664602,11,sponsored
2694318,1,jobalert
2720868,4,sponsored
2736232,3,sponsored
2882094,1,sponsored
2953237,2,sponsored
2973324,5,jobalert
3021469,1,sponsored
3182646,1,sponsored
3217252,1,sponsored
3237851,1,jobalert
3350352,2,sponsored
3533142,1,sponsored
3535472,10,sponsored
3542598,2,jobalert
3560254,4,jobalert
3729481,1,sponsored
3884991,1,jobalert
3946563,1,sponsored
3962697,1,sponsored
3970009,8,jobalert
3974762,2,jobalert
3977334,2,sponsored
4066114,1,sponsored
4072033,1,jobalert
4131445,3,jobalert
4158724,2,sponsored
4461812,1,jobalert
4564902,6,sponsored
4722672,1,sponsored
4783894,1,jobalert
4826226,6,jobalert
4840022,1,sponsored
4843554,3,jobalert
4949907,7,sponsored
4969574,8,sponsored
5011377,7,jobalert
5091382,1,jobalert
5166833,1,sponsored
5275832,1,sponsored
5485492,1,jobalert
5573950,2,jobalert
5703598,2,sponsored
5732588,1,sponsored
5735605,2,jobalert
5752000,1,jobalert
5792439,7,sponsored
5886669,1,jobalert
6115360,1,sponsored
6199063,1,jobalert
6254615,1,sponsored
6393553,1,jobalert
6411347,1,sponsored
6503662,1,sponsored
6622833,2,sponsored
6686321,1,sponsored
6707413,3,jobalert
6735269,3,jobalert
6756494,2,sponsored
6797501,1,sponsored
6843096,1,jobalert
6847274,1,sponsored
6912278,1,jobalert
6922706,2,jobalert
6923934,28,jobalert
6950757,1,jobalert
7087893,6,jobalert
7191966,2,jobalert
7295988,1,jobalert
7436425,1,jobalert
7647621,1,jobalert
7711582,6,sponsored
7751989,2,jobalert
8278746,30,jobalert
8309734,1,jobalert
8434471,1,jobalert
8475969,2,sponsored
8502534,3,sponsored
8513446,2,jobalert
8618145,2,jobalert
8782764,1,sponsored
8829838,1,jobalert
8907412,1,sponsored
8916261,2,jobalert
9304743,3,sponsored
9386746,1,sponsored
9478890,2,jobalert
9539005,1,nowhere
9557327,1,organic
9585737,5,sponsored
9629822,9,jobalert
9725288,1,sponsored
9833356,1,sponsored
9891253,1,jobalert
9973882,2,sponsored
10045768,8,jobalert
10189835,2,sponsored
10248433,1,jobalert
10492240,1,jobalert
10493362,1,sponsored
10636228,2,jobalert
10708194,1,jobalert
10893554,2,jobalert
10920663,1,sponsored
10955741,1,jobalert
10991029,5,sponsored
10999861,2,jobalert
11025749,1,jobalert
11154086,1,sponsored
11160621,4,jobalert
11199195,1,jobalert
11350476,2,organic
11385566,2,jobalert
11398497,1,sponsored
11661828,3,jobalert
11966810,1,jobalert
11999049,2,nowhere
12059778,1,jobalert
12274540,1,sponsored
12290165,1,jobalert
12357802,4,sponsored
12440085,1,jobalert
12528377,3,sponsored
12569653,2,jobalert
12693775,2,jobalert
12863960,1,sponsored
12894340,1,jobalert
12935825,6,jobalert
13031043,3,jobalert
13034133,1,sponsored
13056575,1,sponsored
13156661,2,jobalert
13186999,1,sponsored
13194716,3,jobalert
13212875,1,jobalert
13312378,1,jobalert
13316471,3,jobalert
13356167,1,sponsored
13428499,11,sponsored
13481590,1,jobalert
13588399,1,jobalert
13622474,26,sponsored
13626598,1,jobalert
13639494,1,sponsored
13737664,1,jobalert
13763596,1,organic
13775392,1,sponsored
13819240,3,jobalert
13843207,1,sponsored
14044074,8,jobalert
14254409,1,sponsored
14398361,2,jobalert
14467449,2,organic
14579566,2,jobalert
14634733,2,sponsored
14680589,1,jobalert
14780395,1,sponsored
15051264,3,jobalert
15110082,2,sponsored
15123702,1,sponsored
15133450,2,jobalert
15139151,2,jobalert
15207754,1,sponsored
15222815,14,jobalert
15227039,1,jobalert
15271268,2,jobalert
15363887,1,jobalert
15438546,2,jobalert
15514181,1,jobalert
15538818,2,sponsored
15658520,1,sponsored
15742018,1,jobalert
15946091,1,jobalert
16052454,49,jobalert
16068768,1,jobalert
16314404,5,jobalert
16428644,25,jobalert
16463574,1,jobalert
16488647,11,sponsored
16647631,1,jobalert
16764224,2,jobalert
16809460,1,sponsored
16934449,1,jobalert
17084239,1,jobalert
17101296,1,sponsored
17284586,2,sponsored
17374774,2,jobalert
17467162,2,sponsored
17473089,5,jobalert
17479644,1,sponsored
17514451,12,jobalert
17586295,2,jobalert
17641933,3,sponsored
17652650,1,sponsored
17663911,18,sponsored
17696480,3,jobalert
17747592,1,sponsored
17758080,2,jobalert
17784666,1,sponsored
17835548,5,jobalert
17929428,14,nowhere
17982179,7,jobalert
17996029,2,sponsored
18027261,1,jobalert
18043659,1,sponsored
18095455,1,jobalert
18101239,50,sponsored
18108831,3,sponsored
18197435,1,jobalert
18197872,2,sponsored
18206258,3,jobalert
18219759,8,sponsored
18311863,1,jobalert
18391210,1,jobalert
18405284,8,jobalert
18439334,3,sponsored
18507225,1,jobalert
18517885,1,nowhere
18530701,2,jobalert
18535609,12,nowhere
18582609,1,jobalert
18726199,3,sponsored
18746363,1,jobalert
18787498,4,jobalert
18862765,1,jobalert
18870862,1,jobalert
18882934,1,sponsored
18895995,2,sponsored
18900012,1,jobalert
18946258,1,sponsored
18980453,22,sponsored
19035700,1,sponsored
19232046,1,jobalert
19315022,1,jobalert
19426452,2,jobalert
19598046,1,sponsored
19664873,2,sponsored
19668654,1,jobalert
19670389,1,sponsored
19713304,1,sponsored
19787983,1,jobalert
19973526,2,sponsored
20165270,1,nowhere
20166361,1,sponsored
20215862,1,jobalert
20319783,3,jobalert
20337769,1,sponsored
20500560,1,sponsored
20577833,6,jobalert
20584500,1,jobalert
20594579,1,sponsored
20679728,2,jobalert
20690944,1,sponsored
20692775,2,jobalert
20767847,1,sponsored
20810750,1,jobalert
20913442,6,nowhere
20914176,2,sponsored
20920732,1,jobalert
20938459,2,jobalert
21024538,1,jobalert
21025876,1,sponsored
21044435,9,jobalert
21120471,1,sponsored
21142099,1,jobalert
21206095,1,jobalert
21354719,2,jobalert
21367597,2,sponsored
21428282,1,jobalert
21449189,3,sponsored
21449800,1,nowhere
21464934,1,sponsored
21511633,1,jobalert
21514552,1,jobalert
21580292,1,jobalert
21611717,1,jobalert
21728699,1,jobalert
21730915,2,sponsored
21783722,3,jobalert
21928489,3,jobalert
21936986,1,sponsored
21952841,2,jobalert
22009101,2,jobalert
22011668,2,sponsored
22015627,2,jobalert
22047971,1,jobalert
22087762,2,jobalert
22090640,1,sponsored
22111244,2,jobalert
22159608,3,sponsored
22163024,1,jobalert
22184093,1,jobalert
22237006,1,sponsored
22252589,1,jobalert
22268221,1,sponsored
22275536,1,jobalert
22375281,1,sponsored
22386573,2,jobalert
22414168,6,sponsored
22461321,9,jobalert
22472296,1,jobalert
22481465,1,jobalert
22526979,1,jobalert
22530945,1,sponsored
22583778,2,jobalert
22594021,1,jobalert
22624010,2,jobalert
22670982,8,jobalert
22676427,17,jobalert
22700622,2,jobalert
22794810,12,jobalert
22828780,8,organic
22849431,1,sponsored
22857563,1,jobalert
22861743,1,jobalert
22891136,2,jobalert
22892864,2,jobalert
22917109,1,sponsored
22928086,3,jobalert
22954572,11,jobalert
22960007,3,sponsored
22983408,11,sponsored
22985680,3,sponsored
22992835,1,jobalert
23047935,1,sponsored
23083121,1,nowhere
23088094,1,jobalert
23102592,1,sponsored
23161014,2,jobalert
23250759,1,jobalert
23257967,1,jobalert
23287971,2,jobalert
23491783,3,sponsored
23544744,2,jobalert
23575395,1,jobalert
23599311,1,sponsored
23718469,1,jobalert
23728482,3,sponsored
23751131,2,sponsored
23755755,1,jobalert
23756011,66,nowhere
23771624,1,nowhere
23788702,1,jobalert
23821743,2,sponsored
23828418,21,jobalert
23871166,1,sponsored
23931139,27,jobalert
23959494,1,sponsored
24044189,3,sponsored
24050867,1,jobalert
24059990,15,sponsored
24061679,5,jobalert
24066550,1,sponsored
24078097,1,jobalert
24181117,1,jobalert
24251102,1,jobalert
24328273,6,sponsored
24336303,1,jobalert
24361077,24,sponsored
24388133,1,sponsored
24395300,1,jobalert
24396597,2,jobalert
24417133,1,jobalert
24422968,53,nowhere
24430449,1,sponsored
24453344,1,jobalert
24477377,8,sponsored
24484728,1,jobalert
24491493,14,jobalert
24493095,2,sponsored
24495001,1,jobalert
24495556,3,sponsored
24516209,2,sponsored
24528956,5,jobalert
24532544,10,jobalert
24575649,3,jobalert
24581494,30,jobalert
24644848,2,sponsored
24655215,1,jobalert
24682480,1,jobalert
24686546,8,jobalert
24695572,1,nowhere
24697557,2,sponsored
24700191,1,jobalert
24704373,1,nowhere
24709947,1,jobalert
24711277,1,jobalert
24720351,5,jobalert
24723086,2,jobalert
24739607,4,jobalert
24739718,1,jobalert
24823001,4,jobalert
24846727,1,sponsored
24890110,1,jobalert
24906046,2,jobalert
24926772,1,sponsored
25073403,3,sponsored
25128998,5,jobalert
25144252,1,jobalert
25194552,2,jobalert
25219376,1,jobalert
25221230,1,jobalert
25241997,1,sponsored
25248229,1,sponsored
25261543,1,nowhere
25267980,2,jobalert
25271801,1,jobalert
25277190,1,sponsored
25293750,1,jobalert
25296622,1,jobalert
25308915,1,sponsored
25334316,1,jobalert
25335177,1,sponsored
25389239,1,jobalert
25415068,1,sponsored
25458361,1,jobalert
25488865,1,organic
25513822,1,jobalert
25516548,1,sponsored
25527124,1,jobalert
25606635,1,sponsored
25624840,3,jobalert
25673667,1,sponsored
25674568,2,sponsored
25692825,1,sponsored
25743066,16,sponsored
25799384,1,jobalert
25800752,1,sponsored
25811135,1,jobalert
25837956,2,sponsored
25857063,9,jobalert
25865663,2,jobalert
25872775,1,sponsored
25903733,6,jobalert
25930816,1,jobalert
25937708,1,nowhere
25939028,3,jobalert
25953790,2,sponsored
25956631,2,jobalert
25973886,1,jobalert
25975738,1,jobalert
25977790,1,sponsored
25978005,1,sponsored
25996178,2,jobalert
25999025,1,sponsored
26000557,2,jobalert
26011837,1,jobalert
26016859,1,jobalert
26017630,8,nowhere
26017851,2,sponsored
26020393,25,jobalert
26020599,3,jobalert
26020794,1,jobalert
26021284,1,jobalert
26023494,7,jobalert
26024507,12,jobalert
26033170,1,sponsored
26033233,3,sponsored
26034466,1,jobalert
26035675,1,nowhere
26036454,1,sponsored
26040928,2,jobalert
26049881,4,jobalert
26051213,1,jobalert
26051853,3,sponsored
26053385,1,jobalert
26054313,1,jobalert
26060134,1,jobalert
26061098,5,organic
26063457,1,jobalert
26067222,1,sponsored
26067604,5,sponsored
26068227,1,sponsored
26068242,1,sponsored
26068919,1,jobalert
26069459,1,sponsored
26070207,1,jobalert
26070631,1,sponsored
26071082,2,jobalert
26071089,9,jobalert
26071133,1,jobalert
26071348,1,sponsored
26071966,5,jobalert
26072637,2,organic
26072768,1,sponsored
26072926,1,jobalert
26073505,2,jobalert
26073743,12,organic
26073940,3,sponsored
26075368,3,sponsored
26075776,3,jobalert
26076207,1,jobalert
26076622,1,jobalert
26077015,1,jobalert
26077318,1,sponsored
26077661,1,jobalert
26077985,1,jobalert
26078132,1,sponsored
26085519,1,jobalert
26086491,2,jobalert
26087141,1,jobalert
26088201,1,sponsored
26088385,3,jobalert
26088671,1,sponsored
26088703,1,jobalert
26088752,2,jobalert
26088759,1,jobalert
26089220,2,jobalert
26089791,1,sponsored
26089888,1,jobalert
26090243,2,jobalert
26090441,1,nowhere
26090603,1,jobalert
26090633,2,sponsored
26090846,44,jobalert
26091483,1,nowhere
26091775,1,sponsored
26103822,1,jobalert
26105605,2,sponsored
26115501,6,jobalert
26118985,1,sponsored
26119473,1,sponsored
26121372,1,jobalert
26122103,12,jobalert
26122912,5,sponsored
26124460,1,jobalert
26124462,3,sponsored
26124549,2,jobalert
26126220,3,organic
26127845,1,sponsored
26128526,1,jobalert
26128538,16,sponsored
26128924,2,jobalert
26151693,1,jobalert
26264718,1,sponsored
26271905,1,nowhere
26297700,1,sponsored
26307976,2,jobalert
26459625,1,jobalert
26987159,1,jobalert
27005933,1,jobalert
27048017,1,sponsored
27152007,1,jobalert
27197490,2,jobalert
27205813,1,sponsored
27234669,1,jobalert
27259741,1,sponsored
27276612,1,jobalert
27291533,1,jobalert
27338760,1,sponsored
27363981,2,jobalert
27370594,1,jobalert
27373031,2,jobalert
27416253,1,nowhere
27419681,1,sponsored
27420890,1,jobalert
27423834,2,sponsored
27435392,1,jobalert
27439296,1,jobalert
27455672,1,sponsored
