advertiser_id,nps_score
2491,6
2491,7
2491,8
9125,0
10323,
11219,10
13315,10
13315,9
13315,10
22720,10
22901,8
22935,10
24449,5
27549,0
28828,8
29890,10
30071,10
33883,
34639,9
36169,10
36292,5
39434,5
40305,10
42299,0
42969,10
43196,1
43281,8
58476,2
58900,9
59494,8
69710,10
70024,
70291,5
72019,7
73050,18
73593,10
76631,10
79882,10
80796,3
81157,5
83160,4
87966,10
89456,9
89802,8
91017,9
92698,7
92766,0
92766,0
94413,10
96249,
97215,1
98347,5
106919,7
107122,8
109148,8
110222,9
111189,5
112314,0
112921,10
113800,2
115477,0
118979,10
123093,1
123956,9
125317,0
127700,5
129115,9
133506,5
133949,0
134015,10
134408,8
134692,1
135311,1
137778,5
138361,0
138908,7
141730,0
143093,8
144682,0
145501,1
151965,3
154816,2
156652,5
158694,9
160798,3
161934,8
162319,7
162457,9
163340,10
167763,7
169888,3
174506,5
175268,10
184698,9
187332,2
189331,4
189662,9
203104,7
203479,6
207805,10
209327,7
213496,0
217423,10
218557,10
218710,5
219674,6
219768,8
222083,4
227911,0
230789,10
233238,5
234525,2
235244,8
237904,10
238656,0
240711,0
244553,10
245483,8
247738,6
247760,8
251032,7
251090,6
253553,9
254253,10
254766,9
258276,8
258336,10
260304,6
260746,9
264328,2
265732,8
266762,10
267397,3
269871,5
278858,10
279330,7
281244,8
288428,9
288924,9
295272,10
295744,9
299071,10
302327,8
304871,10
305294,10
307917,9
310068,0
310073,1
312831,3
312917,9
315263,0
323088,7
327177,8
328546,0
329210,0
335294,2
336433,9
339772,10
339822,9
339993,0
343660,10
347905,3
354705,3
354762,8
355265,6
356379,10
367524,0
368281,10
368659,9
370151,10
371517,10
371778,3
372094,3
373055,10
373706,6
386321,10
388102,9
394009,6
394471,8
394948,10
401733,3
401809,7
402208,2
408261,5
421488,9
427746,10
427864,8
428018,9
432237,8
434313,8
435336,8
435885,10
444437,7
445665,10
446393,1
446975,9
454691,0
458867,10
459638,3
461092,10
461216,0
462200,10
463202,7
465499,10
470196,8
470987,9
471151,10
473542,5
480866,8
481697,10
485345,10
487336,9
489379,4
489727,10
493573,8
503343,0
503806,8
505606,9
507187,1
508744,0
515605,8
521584,10
521588,0
523088,0
523740,6
524895,7
528114,7
529363,4
530922,10
532936,10
534107,9
537553,8
539365,5
541884,5
548230,10
548639,10
551090,10
551334,10
554821,6
561349,9
563180,10
563836,5
568734,0
572706,10
572943,4
576501,7
582224,6
584340,2
584969,2
587995,2
593574,2
593700,8
593986,0
594735,5
597438,10
597986,10
602681,10
604147,8
606609,9
608555,3
608633,4
620676,7
621412,7
622081,1
622794,0
628534,0
630926,8
639214,10
641691,2
647208,8
650902,7
652057,10
654698,0
661272,5
662103,2
664729,8
664885,10
664891,2
667746,8
670728,8
671110,8
671204,4
673539,6
674630,7
680618,9
682605,10
686026,8
687182,6
699129,10
700002,0
700196,10
700846,3
709210,10
710083,8
712282,2
714528,10
717810,5
721750,9
721929,10
726096,8
726142,6
732820,9
737987,9
745221,10
745998,0
751498,9
752104,7
754746,7
758130,7
759591,0
762356,10
768631,7
769259,10
772130,8
772146,9
776343,8
776877,10
782647,10
784157,8
790140,10
797519,5
798124,5
803419,2
807034,9
808187,10
809035,10
818175,10
824639,9
834751,10
839411,10
843409,7
845458,1
846178,6
859181,3
862542,8
864875,2
871277,8
874775,6
875897,10
877709,10
880023,4
881082,2
884534,8
888253,9
891563,0
894508,10
894694,8
895767,8
901550,6
902100,8
902931,10
905684,4
908892,6
911586,10
915950,10
916791,6
917529,7
918822,0
920086,0
921339,3
921959,10
922229,8
923497,8
934663,10
935060,3
936619,9
937625,3
939853,9
939913,10
941331,8
951003,10
951376,4
951464,10
956333,7
958104,5
960090,9
961772,10
964031,7
964077,10
964199,10
968442,1
972726,10
973900,10
974226,10
974269,4
977413,10
979945,5
980623,9
987387,9
987616,10
987943,10
988837,7
992125,4
994682,9
1002264,8
1007340,6
1007798,10
1010843,10
1015479,10
1020015,7
1020086,8
1022086,10
1023113,9
1025722,7
1029320,10
1031409,10
1032878,1
1033277,3
1035868,7
1038457,7
1041043,8
1043166,0
1047321,7
1047923,8
1050140,5
1050701,3
1054438,0
1055378,10
1056188,10
1058050,10
1060315,0
1061660,0
1068326,9
1071944,10
1077394,1
1078387,10
1078566,10
1081339,8
1082222,10
1082901,7
1084141,3
1086198,10
1086603,9
1089583,4
1091841,7
1096398,10
1103701,9
1106670,7
1107879,10
1109891,3
1113912,0
1115788,8
1117551,7
1122229,0
1130768,6
1132705,7
1137996,10
1139641,10
1142674,5
1148240,0
1151354,2
1154279,4
1154853,7
1155430,2
1155846,9
1161912,7
1162211,5
1163146,8
1164311,1
1168653,8
1174934,7
1180884,4
1180933,7
1181651,3
1189164,10
1189630,6
1189726,7
1191833,10
1197694,1
1200189,7
1201671,10
1204864,0
1205391,5
1207298,3
1209380,9
1209988,9
1211087,8
1211956,10
1214167,8
1215109,8
1219253,7
1222832,10
1223342,2
1224010,2
1230488,8
1234009,5
1234282,6
1238222,6
1238989,0
1241711,10
1241921,9
1245472,3
1247827,7
1248531,10
1248656,10
1252056,10
1254674,6
1256287,10
1257939,9
1261220,8
1261353,2
